año,pob_1,pob_2,pob_3,pob_9,pob_4,pob_7,pob_8,pob_5,pob_6,pob_10,pob_total,pob_11,pob_12,pob_13,pob_14,pob_16,pob_17,pob_15,pob_18,pob_19,pob_20,pob_21,pob_22,pob_23,pob_24,pob_25,pob_26,pob_27,pob_28,pob_29,pob_30,pob_31,pob_32
2007m3,741063.9333,1992747.9,388232.3333,6547171.8,540116.5,2830318.9,2204642.367,1786494.933,420322.7333,1042547.967,72971562.93,3429534.733,2076068.6,1690545.067,4763183.867,2775960.867,1155264.667,9845682,693927.7,3106806.633,2406648.433,3671743.6,1141722.667,784654.3,1665840.467,1842817.533,1727866.833,1423223.167,2147994.2,751257.1667,5100125.233,1319944.9,957093.2
2007m4,742995.2,1999307.05,390026,6552123.1,541275.25,2838107.55,2208050.65,1790223.2,421639.8,1044496.35,73131909.2,3438902.3,2081024.7,1695365.8,4773901.9,2782474.4,1158412,9868909,695937.15,3113405.35,2412098.95,3679167.2,1145493.5,788777.85,1669079.1,1846540.9,1732176.25,1426778.25,2151412.9,752880.75,5109405.55,1322536.55,958986.9
2007m5,744926.4667,2005866.2,391819.6667,6557074.4,542434,2845896.2,2211458.933,1793951.467,422956.8667,1046444.733,73292255.47,3448269.867,2085980.8,1700186.533,4784619.933,2788987.933,1161559.333,9892136,697946.6,3120004.067,2417549.467,3686590.8,1149264.333,792901.4,1672317.733,1850264.267,1736485.667,1430333.333,2154831.6,754504.3333,5118685.867,1325128.2,960880.6
2007m6,746857.7333,2012425.35,393613.3333,6562025.7,543592.75,2853684.85,2214867.217,1797679.733,424273.9333,1048393.117,73452601.73,3457637.433,2090936.9,1705007.267,4795337.967,2795501.467,1164706.667,9915363,699956.05,3126602.783,2422999.983,3694014.4,1153035.167,797024.95,1675556.367,1853987.633,1740795.083,1433888.417,2158250.3,756127.9167,5127966.183,1327719.85,962774.3
2007m7,748789,2018984.5,395407,6566977,544751.5,2861473.5,2218275.5,1801408,425591,1050341.5,73612948,3467005,2095893,1709828,4806056,2802015,1167854,9938590,701965.5,3133201.5,2428450.5,3701438,1156806,801148.5,1678795,1857711,1745104.5,1437443.5,2161669,757751.5,5137246.5,1330311.5,964668
2007m8,750720.2667,2025543.65,397200.6667,6571928.3,545910.25,2869262.15,2221683.783,1805136.267,426908.0667,1052289.883,73773294.27,3476372.567,2100849.1,1714648.733,4816774.033,2808528.533,1171001.333,9961817,703974.95,3139800.217,2433901.017,3708861.6,1160576.833,805272.05,1682033.633,1861434.367,1749413.917,1440998.583,2165087.7,759375.0833,5146526.817,1332903.15,966561.7
2007m9,752651.5333,2032102.8,398994.3333,6576879.6,547069,2877050.8,2225092.067,1808864.533,428225.1333,1054238.267,73933640.53,3485740.133,2105805.2,1719469.467,4827492.067,2815042.067,1174148.667,9985044,705984.4,3146398.933,2439351.533,3716285.2,1164347.667,809395.6,1685272.267,1865157.733,1753723.333,1444553.667,2168506.4,760998.6667,5155807.133,1335494.8,968455.4
2007m10,754582.8,2038661.95,400788,6581830.9,548227.75,2884839.45,2228500.35,1812592.8,429542.2,1056186.65,74093986.8,3495107.7,2110761.3,1724290.2,4838210.1,2821555.6,1177296,10008271,707993.85,3152997.65,2444802.05,3723708.8,1168118.5,813519.15,1688510.9,1868881.1,1758032.75,1448108.75,2171925.1,762622.25,5165087.45,1338086.45,970349.1
2007m11,756514.0667,2045221.1,402581.6667,6586782.2,549386.5,2892628.1,2231908.633,1816321.067,430859.2667,1058135.033,74254333.07,3504475.267,2115717.4,1729110.933,4848928.133,2828069.133,1180443.333,10031498,710003.3,3159596.367,2450252.567,3731132.4,1171889.333,817642.7,1691749.533,1872604.467,1762342.167,1451663.833,2175343.8,764245.8333,5174367.767,1340678.1,972242.8
2007m12,758445.3333,2051780.25,404375.3333,6591733.5,550545.25,2900416.75,2235316.917,1820049.333,432176.3333,1060083.417,74414679.33,3513842.833,2120673.5,1733931.667,4859646.167,2834582.667,1183590.667,10054725,712012.75,3166195.083,2455703.083,3738556,1175660.167,821766.25,1694988.167,1876327.833,1766651.583,1455218.917,2178762.5,765869.4167,5183648.083,1343269.75,974136.5
2008m1,760376.6,2058339.4,406169,6596684.8,551704,2908205.4,2238725.2,1823777.6,433493.4,1062031.8,74575025.6,3523210.4,2125629.6,1738752.4,4870364.2,2841096.2,1186738,10077952,714022.2,3172793.8,2461153.6,3745979.6,1179431,825889.8,1698226.8,1880051.2,1770961,1458774,2182181.2,767493,5192928.4,1345861.4,976030.2
