ANO,MES_NUM,MES,AGUASCALIENTES,BAJA CALIFORNIA,BAJA CALIFORNIA SUR,CAMPECHE,COAHUILA,COLIMA,CHIAPAS,CHIHUAHUA,CIUDAD DE MEXICO,DURANGO,GUANAJUATO,GUERRERO,HIDALGO,JALISCO,MEXICO,MICHOACAN,MORELOS,NAYARIT,NUEVO LEON,OAXACA,PUEBLA,QUERETARO,QUINTANA ROO,SAN LUIS POTOSI,SINALOA,SONORA,TABASCO,TAMAULIPAS,TLAXCALA,VERACRUZ,YUCATAN,ZACATECAS
2006,7,JULIO,1101290,2937649.3,549626.8,775043.3,2571157.3,592763.7,4444395.3,3290950.3,8759965.2,1546262.1,5071580,3197271.8,2441365.2,6931683.7,14358005.1,4081562.2,1662197.4,990272.5,4335541.8,3595363.3,5502141.8,1667078.4,1192389.7,2462945.2,2656237.7,2475146.7,2064559.2,3097532.8,1098725.7,7270108,1859936.7,1404584.8
2006,8,AGOSTO,1103283,2942825.983,551707.7333,776171.8167,2575377.15,594139.6833,4452780.65,3293700.65,8762134.6,1548325.717,5081456,3201831.233,2446690.267,6941659.85,14377477.88,4087978.267,1664936.2,992527.4167,4343111.233,3600282.317,5508753.4,1670908.367,1195560.85,2465863.6,2658893.017,2479607.017,2068703.1,3101604.733,1100421.183,7278991,1862213.85,1406634.4
2006,9,SEPTIEMBRE,1105276,2948002.667,553788.6667,777300.3333,2579597,595515.6667,4461166,3296451,8764304,1550389.333,5091332,3206390.667,2452015.333,6951636,14396950.67,4094394.333,1667675,994782.3333,4350680.667,3605201.333,5515365,1674738.333,1198732,2468782,2661548.333,2484067.333,2072847,3105676.667,1102116.667,7287874,1864491,1408684
2006,10,OCTUBRE,1107269,2953179.35,555869.6,778428.85,2583816.85,596891.65,4469551.35,3299201.35,8766473.4,1552452.95,5101208,3210950.1,2457340.4,6961612.15,14416423.45,4100810.4,1670413.8,997037.25,4358250.1,3610120.35,5521976.6,1678568.3,1201903.15,2471700.4,2664203.65,2488527.65,2076990.9,3109748.6,1103812.15,7296757,1866768.15,1410733.6
2006,11,NOVIEMBRE,1109262,2958356.033,557950.5333,779557.3667,2588036.7,598267.6333,4477936.7,3301951.7,8768642.8,1554516.567,5111084,3215509.533,2462665.467,6971588.3,14435896.23,4107226.467,1673152.6,999292.1667,4365819.533,3615039.367,5528588.2,1682398.267,1205074.3,2474618.8,2666858.967,2492987.967,2081134.8,3113820.533,1105507.633,7305640,1869045.3,1412783.2
2006,12,DICIEMBRE,1111255,2963532.717,560031.4667,780685.8833,2592256.55,599643.6167,4486322.05,3304702.05,8770812.2,1556580.183,5120960,3220068.967,2467990.533,6981564.45,14455369.02,4113642.533,1675891.4,1001547.083,4373388.967,3619958.383,5535199.8,1686228.233,1208245.45,2477537.2,2669514.283,2497448.283,2085278.7,3117892.467,1107203.117,7314523,1871322.45,1414832.8
2007,1,ENERO,1113248,2968709.4,562112.4,781814.4,2596476.4,601019.6,4494707.4,3307452.4,8772981.6,1558643.8,5130836,3224628.4,2473315.6,6991540.6,14474841.8,4120058.6,1678630.2,1003802,4380958.4,3624877.4,5541811.4,1690058.2,1211416.6,2480455.6,2672169.6,2501908.6,2089422.6,3121964.4,1108898.6,7323406,1873599.6,1416882.4
2007,2,FEBRERO ,1115241,2973886.083,564193.3333,782942.9167,2600696.25,602395.5833,4503092.75,3310202.75,8775151,1560707.417,5140712,3229187.833,2478640.667,7001516.75,14494314.58,4126474.667,1681369,1006056.917,4388527.833,3629796.417,5548423,1693888.167,1214587.75,2483374,2674824.917,2506368.917,2093566.5,3126036.333,1110594.083,7332289,1875876.75,1418932
2007,3,MARZO,1117234,2979062.767,566274.2667,784071.4333,2604916.1,603771.5667,4511478.1,3312953.1,8777320.4,1562771.033,5150588,3233747.267,2483965.733,7011492.9,14513787.37,4132890.733,1684107.8,1008311.833,4396097.267,3634715.433,5555034.6,1697718.133,1217758.9,2486292.4,2677480.233,2510829.233,2097710.4,3130108.267,1112289.567,7341172,1878153.9,1420981.6
2007,4,ABRIL,1119227,2984239.45,568355.2,785199.95,2609135.95,605147.55,4519863.45,3315703.45,8779489.8,1564834.65,5160464,3238306.7,2489290.8,7021469.05,14533260.15,4139306.8,1686846.6,1010566.75,4403666.7,3639634.45,5561646.2,1701548.1,1220930.05,2489210.8,2680135.55,2515289.55,2101854.3,3134180.2,1113985.05,7350055,1880431.05,1423031.2
2007,5,MAYO,1121220,2989416.133,570436.1333,786328.4667,2613355.8,606523.5333,4528248.8,3318453.8,8781659.2,1566898.267,5170340,3242866.133,2494615.867,7031445.2,14552732.93,4145722.867,1689585.4,1012821.667,4411236.133,3644553.467,5568257.8,1705378.067,1224101.2,2492129.2,2682790.867,2519749.867,2105998.2,3138252.133,1115680.533,7358938,1882708.2,1425080.8
